Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
F,47210.0268,LIB,Department of Public Libraries,Parttime,Library Assistant I,11/21/1988
M,26724.4432,DOT,Department of Transportation,Parttime,Office Services Coordinator,09/18/2017
F,109492.7364,DOT,Department of Transportation,Fulltime,Management and Budget Specialist III,03/05/1984
M,56211.4248,HHS,Department of Health and Human Services,Fulltime,Dental Assistant,10/01/2007
F,95740,DEP,Department of Environmental Protection,Fulltime,Planning Specialist III,01/22/2007
F,55268.4726,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,10/04/1999
M,57563.7,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,43443.06,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,01/04/2010
M,85062.9,POL,Department of Police,Fulltime,Police Sergeant,01/12/2009
M,90188.4,HHS,Department of Health and Human Services,Fulltime,Emergency Management Specialist II,09/05/2017
M,64076.5816,DOT,Department of Transportation,Fulltime,Equipment Operator II,01/13/2002
F,109255.41,CCL,County Council,Fulltime,Legislative Analyst II,09/30/1985
F,73506.0325,HHS,Department of Health and Human Services,Fulltime,Therapist II,04/10/2012
M,59578.2,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,31279.0005,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,08/25/2013
F,87960.6486,DEP,Department of Environmental Protection,Fulltime,Administrative Specialist II,07/24/1989
F,121372,OMB,Office of Management and Budget,Fulltime,Fiscal and Policy Analyst III,08/27/2001
F,46995.1434,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,11/29/2004
M,118046.64,DEP,Department of Environmental Protection,Fulltime,Senior Engineer,02/11/2001
F,131653.6746,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,08/30/1999
M,155224.81,CAT,County Attorney's Office,Fulltime,Manager II,07/30/2012
M,43971.1392,DOT,Department of Transportation,Fulltime,Bus Operator,08/17/2015
M,59064.192,REC,Department of Recreation,Fulltime,Recreation Specialist,02/09/2015
F,97654.8,POL,Department of Police,Fulltime,Public Safety Emergency Communications Supervisor,10/01/1990
M,63200.2,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,56322.66,DPS,Department of Permitting Services,Fulltime,Permit Technician III,04/02/2007
F,70270.86,CUS,Community Use of Public Facilities,Fulltime,Office Services Coordinator,07/31/2000
M,67685.66,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
M,52995.09,DOT,Department of Transportation,Fulltime,Bus Operator,07/10/2006
F,75037.5157,FIN,Department of Finance,Fulltime,Administrative Specialist II,06/01/2015
F,68253.08,HHS,Department of Health and Human Services,Fulltime,Social Worker III,09/18/2017
M,94782.6,COR,Correction and Rehabilitation,Fulltime,Information Technology Specialist III,01/02/2001
F,65935.35,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,07/24/2017
M,92376.9735,DLC,Department of Liquor Control,Fulltime,Liquor Store Manager,10/06/1989
F,54955.39,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,06/18/2013
M,81657.12,POL,Department of Police,Fulltime,Police Officer III,01/16/2007
M,46839.5704,DOT,Department of Transportation,Fulltime,Bus Operator,08/27/2012
M,67103.39,POL,Department of Police,Fulltime,Police Officer III,06/01/2015
M,64877.35,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,01/28/2013
F,59967.04,FIN,Department of Finance,Fulltime,Office Services Coordinator,08/13/2012
F,72206.64,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,08/09/2017
M,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
F,70959.79,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,10/17/1994
M,126676.1052,DGS,Department of General Services,Fulltime,Manager III,11/12/2002
F,38260.1408,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,07/28/2014
M,69148.35,DOT,Department of Transportation,Fulltime,Transit Information Systems Technician,10/24/2011
F,67617.9114,COR,Correction and Rehabilitation,Fulltime,Correctional Dietary Officer II,03/17/2003
F,19351.9032,HHS,Department of Health and Human Services,Parttime,Administrative Aide,11/09/2012
M,52640.2824,FRS,Fire and Rescue Services,Fulltime,Emergency Vehicle Mechanic Technician II,05/16/2016
F,60036.6288,LIB,Department of Public Libraries,Fulltime,Library Assistant I,03/22/1997
M,95684.4252,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/22/1994
M,67283.01,FRS,Fire and Rescue Services,Fulltime,Emergency Vehicle Mechanic Technician II,06/29/2015
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,06/15/1994
M,92891.7,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),09/21/1998
F,76573.53,POL,Department of Police,Fulltime,Police Officer III,11/13/2006
M,42246.7808,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,05/11/2015
M,125172.36,POL,Department of Police,Fulltime,Police Lieutenant,05/25/1997
M,88849.14,DOT,Department of Transportation,Fulltime,Work Force Leader IV,09/25/1989
F,75653,CEX,Offices of the County Executive,Fulltime,Senior Executive Administrative Aide,01/06/1997
F,100370,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,03/20/2006
M,72996.6876,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,04/16/2007
F,58483.38,DOT,Department of Transportation,Fulltime,Bus Operator,04/04/2004
M,83364.6,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,02/03/2003
F,58944.011,OHR,Office of Human Resources,Fulltime,Human Resources Specialist III,04/07/2014
M,72941.6344,DLC,Department of Liquor Control,Fulltime,Alcohol Beverage Purchasing Specialist,10/05/1995
M,92787.69,POL,Department of Police,Fulltime,Police Officer III,07/21/2003
M,63223.7073,HHS,Department of Health and Human Services,Parttime,Program Manager I,08/08/2016
M,44617.77,DOT,Department of Transportation,Fulltime,Bus Operator,09/29/2014
F,51881.1372,HHS,Department of Health and Human Services,Fulltime,Behavioral Health Associate Counselor,04/21/2014
F,65368.3014,HHS,Department of Health and Human Services,Fulltime,Program Manager I,01/27/2014
F,48367.4198,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,11/04/2002
M,73552.92,COR,Correction and Rehabilitation,Fulltime,Correctional Health Nurse II,09/18/2017
F,22536.9582,POL,Department of Police,Parttime,Crossing Guard,03/04/2005
M,51056.9906,COR,Correction and Rehabilitation,Fulltime,Correctional Dietary Officer II,11/24/2008
F,151291.9905,DGS,Department of General Services,Fulltime,Manager II,01/11/2016
M,85769.7764,HHS,Department of Health and Human Services,Fulltime,Therapist II,07/09/2007
F,101832.9444,HHS,Department of Health and Human Services,Fulltime,Therapist II,06/28/1993
M,37856.42,DOT,Department of Transportation,Fulltime,Equipment Operator I,03/20/2017
M,92375.91,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,06/07/2004
F,99622.9155,FRS,Fire and Rescue Services,Fulltime,Manager III,01/22/2007
M,47089.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
M,65683.3828,DGS,Department of General Services,Fulltime,Mechanic Technician II,10/29/2007
M,96925.1651,FRS,Fire and Rescue Services,Fulltime,Information Technology Specialist III,04/04/2016
M,74314.2749,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,03/19/2007
F,102914.91,HHS,Department of Health and Human Services,Fulltime,Supervisory Therapist,01/31/1994
F,102377.4,HHS,Department of Health and Human Services,Fulltime,Social Worker III,07/03/2000
M,56884.9271,DOT,Department of Transportation,Fulltime,Transit Coordinator,04/30/2007
F,54171.8793,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,02/14/2000
F,64487.115,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,06/12/2006
M,130119.1668,FIN,Department of Finance,Fulltime,Manager III,04/18/2005
F,77166.06,DLC,Department of Liquor Control,Fulltime,Administrative Specialist I,01/21/1997
F,101172.2757,HHS,Department of Health and Human Services,Fulltime,Program Manager II,11/21/2011
M,64784.9972,DGS,Department of General Services,Fulltime,Equipment Maintenance Crew Chief,03/26/2012
F,69581.93,FIN,Department of Finance,Fulltime,Office Services Coordinator,09/08/2003
F,79867.2954,FIN,Department of Finance,Fulltime,Administrative Specialist II,11/09/1997
F,52340.8159,HHS,Department of Health and Human Services,Parttime,School Health Room Technician II,03/10/2003
M,80061.69,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),12/17/2001
M,78893.94,POL,Department of Police,Fulltime,Police Officer III,01/16/2007
M,88823.28,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,08/17/1998
M,62642.25,POL,Department of Police,Fulltime,Police Officer III,07/11/2016
M,68448.8772,POL,Department of Police,Fulltime,Program Specialist II,06/04/2008
M,60455,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,02/27/2012
M,47795.48,DOT,Department of Transportation,Fulltime,Bus Operator,09/12/2010
F,19359.72,LIB,Department of Public Libraries,Parttime,Library Aide,09/01/2000
F,69240.2975,HHS,Department of Health and Human Services,Fulltime,Client Assistance Specialist,01/24/2005
M,88823.28,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/03/2002
M,105042.96,POL,Department of Police,Fulltime,Police Sergeant,01/26/2004
M,86900.2,DPS,Department of Permitting Services,Fulltime,Permitting and Code Enforcement Inspector III,02/20/2007
M,104188.59,HCA,Department of Housing and Community Affairs,Fulltime,Program Manager II,07/29/2013
F,93023.26,HHS,Department of Health and Human Services,Fulltime,Therapist II,08/25/2014
M,95084.42,POL,Department of Police,Fulltime,Police Officer III,09/18/1995
M,36845.608,DLC,Department of Liquor Control,Fulltime,Truck Driver Helper/Warehouse Worker,11/19/2012
F,63525.9,POL,Department of Police,Fulltime,Office Services Coordinator,10/15/2007
M,154045.1394,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Assistant Chief,08/05/1991
F,124190.105,LIB,Department of Public Libraries,Fulltime,Manager III,11/05/1984
F,104025.1806,OCP,Office of Consumer Protection,Fulltime,Investigator III,02/06/2006
M,72290.6288,HHS,Department of Health and Human Services,Fulltime,Behavioral Health Associate Counselor,08/11/2014
M,63198.63,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
F,101074.51,HHS,Department of Health and Human Services,Fulltime,Program Manager II,02/20/2007
F,83881.14,HHS,Department of Health and Human Services,Fulltime,Client Assistance Specialist,01/16/1978
M,46524.14,COR,Correction and Rehabilitation,Fulltime,Fiscal Assistant,10/06/2014
M,47416.0464,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,04/16/2007
M,105042.96,POL,Department of Police,Fulltime,Police Sergeant,04/29/2002
F,100128.5502,OHR,Office of Human Resources,Fulltime,Human Resources Specialist III,05/27/2008
F,140499.3492,LIB,Department of Public Libraries,Fulltime,Manager III,06/06/1988
M,108385.299,POL,Department of Police,Fulltime,Master Police Officer,07/17/2000
M,46062.94,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/09/2017
F,87304.86,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,02/04/1991
M,55629,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
M,92787.69,POL,Department of Police,Fulltime,Police Officer III,07/06/1998
M,105042.96,POL,Department of Police,Fulltime,Police Sergeant,09/07/1999
M,110448,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,08/16/1999
M,105084.7554,HRC,Office of Human Rights,Fulltime,Investigator III,04/22/1996
M,56240.76,POL,Department of Police,Fulltime,Police Officer III,01/09/2017
F,93830,COR,Correction and Rehabilitation,Fulltime,Correctional Supervisor (Sergeant),09/13/1999
M,66974.6484,DOT,Department of Transportation,Fulltime,Public Service Craftsworker I,07/01/2001
M,114574.68,DGS,Department of General Services,Fulltime,Senior Engineer,04/15/2002
M,70505.82,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,01/14/2008
M,145771.28,DTS,Department of Technology Services,Fulltime,Technology Expert,02/24/2014
M,46179.85,DOT,Department of Transportation,Fulltime,Bus Operator,04/16/2012
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Social Worker III,06/25/2007
F,134815.5272,FIN,Department of Finance,Fulltime,Manager III,10/04/1993
F,136835.6989,HHS,Department of Health and Human Services,Fulltime,Manager III,06/01/1987
M,110448,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/11/2000
F,69540.5942,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,01/02/1990
M,61397.88,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/28/2013
F,50045.37,CAT,County Attorney's Office,Fulltime,Office Services Coordinator,11/13/2007
M,95122.5858,FRS,Fire and Rescue Services,Fulltime,Senior Information Technology Specialist,12/16/2002
F,93706.38,POL,Department of Police,Fulltime,Police Officer III,01/26/2004
M,65751,DOT,Department of Transportation,Fulltime,Bus Operator,06/14/1992
M,66325.4375,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,08/08/1999
M,89299.98,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,03/12/2001
M,65144.28,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,12/21/1998
F,94240.1889,PRO,Office of Procurement,Fulltime,Information Technology Specialist III,12/27/2004
F,95740,HHS,Department of Health and Human Services,Fulltime,Administrative Specialist III,07/10/2006
F,119923.65,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,09/11/2000
M,136655.0916,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Battalion Chief,01/12/1998
M,78120.47,POL,Department of Police,Fulltime,Police Officer III,07/17/2006
M,48401.1,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Candidate,07/24/2017
M,160372,CEC,Community Engagement Cluster,Fulltime,Director Regional Services Center,11/27/2006
M,107621.2872,POL,Department of Police,Fulltime,Police Sergeant,02/06/1995
M,51154.0154,DOT,Department of Transportation,Fulltime,Public Service Worker IV,08/06/2007
F,30963.051,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,10/11/2009
M,59322.78,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
M,63493.674,DOT,Department of Transportation,Fulltime,Bus Operator,02/17/2002
M,48975.399,DOT,Department of Transportation,Fulltime,Bus Operator,05/12/2008
F,84737.07,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,03/22/1989
M,102377.4,DGS,Department of General Services,Fulltime,Property Manager II,06/01/1979
M,42484.1934,DOT,Department of Transportation,Fulltime,Bus Operator,06/27/2016
M,43971.1392,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2015
M,47961.6781,DOT,Department of Transportation,Fulltime,Equipment Operator I,11/24/2008
